cell,feature,group,perm_importance
1_none_baseline,EtCO2_measured,non_SOFA,0.0011808023838112524
1_none_baseline,BaseExcess_measured,non_SOFA,0.0004622170051113594
1_none_baseline,HCO3_measured,non_SOFA,0.0001149227512321771
1_none_baseline,FiO2_measured,SOFA_other(MAP+resp),0.0006900691037225847
1_none_baseline,pH_measured,non_SOFA,0.0012487585713585215
1_none_baseline,PaCO2_measured,non_SOFA,-9.68558697238331e-05
1_none_baseline,SaO2_measured,SOFA_other(MAP+resp),-0.0005155358513480202
1_none_baseline,AST_measured,non_SOFA,0.0006452060633673595
1_none_baseline,BUN_measured,non_SOFA,0.0002604672407647113
1_none_baseline,Alkalinephos_measured,non_SOFA,-0.00010094494628409834
1_none_baseline,Calcium_measured,non_SOFA,0.00015592667649317883
1_none_baseline,Chloride_measured,non_SOFA,0.000334758150040404
1_none_baseline,Creatinine_measured,SOFA_lab_core,1.680675808147236e-05
1_none_baseline,Bilirubin_direct_measured,non_SOFA,-3.3222714603287075e-05
1_none_baseline,Glucose_measured,non_SOFA,0.0002528827601188721
1_none_baseline,Lactate_measured,non_SOFA,-0.0002776182674247785
1_none_baseline,Magnesium_measured,non_SOFA,0.0004360641654610364
1_none_baseline,Phosphate_measured,non_SOFA,0.0002727310645173842
1_none_baseline,Potassium_measured,non_SOFA,-0.00021833585693461499
1_none_baseline,Bilirubin_total_measured,SOFA_lab_core,-0.0003263039470122409
1_none_baseline,TroponinI_measured,non_SOFA,-0.00018303148194709907
1_none_baseline,Hct_measured,non_SOFA,0.00011142885021775406
1_none_baseline,Hgb_measured,non_SOFA,0.0009980711094878913
1_none_baseline,PTT_measured,non_SOFA,-6.706934736516734e-05
1_none_baseline,WBC_measured,non_SOFA,0.0005133023800278525
1_none_baseline,Fibrinogen_measured,non_SOFA,-6.664032326480495e-05
1_none_baseline,Platelets_measured,SOFA_lab_core,0.0007615957786410443
8_SMOTETomek_aggressive,Age,non_SOFA,-0.0051143844759899085
8_SMOTETomek_aggressive,HospAdmTime,non_SOFA,0.0029938966329596138
8_SMOTETomek_aggressive,HR_mean,non_SOFA,0.0013841976601679628
8_SMOTETomek_aggressive,HR_min,non_SOFA,0.0008302559321631542
8_SMOTETomek_aggressive,HR_max,non_SOFA,-0.0009987377528723196
8_SMOTETomek_aggressive,HR_std,non_SOFA,0.00041318579438894833
8_SMOTETomek_aggressive,O2Sat_mean,SOFA_other(MAP+resp),-9.773187070777345e-05
8_SMOTETomek_aggressive,O2Sat_min,SOFA_other(MAP+resp),-6.332360982519436e-07
8_SMOTETomek_aggressive,O2Sat_max,SOFA_other(MAP+resp),0.0023534894335070443
8_SMOTETomek_aggressive,O2Sat_std,SOFA_other(MAP+resp),-0.001195667209911533
8_SMOTETomek_aggressive,Temp_mean,non_SOFA,-0.002504049902643424
8_SMOTETomek_aggressive,Temp_min,non_SOFA,-0.00022125605030473005
8_SMOTETomek_aggressive,Temp_max,non_SOFA,-0.0005327821554741319
8_SMOTETomek_aggressive,Temp_std,non_SOFA,-0.00020739006023978157
8_SMOTETomek_aggressive,SBP_mean,non_SOFA,-0.0010106062513299096
8_SMOTETomek_aggressive,SBP_min,non_SOFA,6.746909019644253e-05
8_SMOTETomek_aggressive,SBP_max,non_SOFA,-0.0013806189740831198
8_SMOTETomek_aggressive,SBP_std,non_SOFA,8.627800213377723e-05
8_SMOTETomek_aggressive,MAP_mean,SOFA_other(MAP+resp),0.0008181085737944016
8_SMOTETomek_aggressive,MAP_min,SOFA_other(MAP+resp),0.0009955120882525815
8_SMOTETomek_aggressive,MAP_max,SOFA_other(MAP+resp),-3.394504502982065e-05
8_SMOTETomek_aggressive,MAP_std,SOFA_other(MAP+resp),-0.0010586386577499773
8_SMOTETomek_aggressive,DBP_mean,non_SOFA,0.000886356692072876
8_SMOTETomek_aggressive,DBP_min,non_SOFA,0.000375423965040389
8_SMOTETomek_aggressive,DBP_max,non_SOFA,0.0006451313329827512
8_SMOTETomek_aggressive,DBP_std,non_SOFA,-0.00011633924331876378
8_SMOTETomek_aggressive,Resp_mean,non_SOFA,-0.0008033351115943443
8_SMOTETomek_aggressive,Resp_min,non_SOFA,0.003002642972387959
8_SMOTETomek_aggressive,Resp_max,non_SOFA,0.0008285136257418446
8_SMOTETomek_aggressive,Resp_std,non_SOFA,0.0014999194228180412
8_SMOTETomek_aggressive,EtCO2_mean,non_SOFA,8.833227714667991e-05
8_SMOTETomek_aggressive,EtCO2_min,non_SOFA,0.0020988134532653802
8_SMOTETomek_aggressive,EtCO2_max,non_SOFA,0.00043133545304192556
8_SMOTETomek_aggressive,EtCO2_std,non_SOFA,0.0009109584755932432
8_SMOTETomek_aggressive,BaseExcess_mean,non_SOFA,0.0009411198272924303
8_SMOTETomek_aggressive,BaseExcess_min,non_SOFA,5.583021202024696e-05
8_SMOTETomek_aggressive,BaseExcess_max,non_SOFA,0.00046230833837885286
8_SMOTETomek_aggressive,BaseExcess_std,non_SOFA,0.00032401922143178165
8_SMOTETomek_aggressive,HCO3_mean,non_SOFA,0.00025521329860261346
8_SMOTETomek_aggressive,HCO3_min,non_SOFA,-0.0008938393405641454
8_SMOTETomek_aggressive,HCO3_max,non_SOFA,0.0008304111858446206
8_SMOTETomek_aggressive,HCO3_std,non_SOFA,-1.9269650301051433e-05
