site,model,condition,arm,split,auprc,auroc
A,lightgbm,5_SMOTENC,full,3,0.14563355637116474,0.6974881179426634
A,lightgbm,5_SMOTENC,full,4,0.14835032440703722,0.7131196268520212
A,lightgbm,5_SMOTENC,full,5,0.16321553526152663,0.7241752298539752
A,lightgbm,5_SMOTENC,full,6,0.1509076194644436,0.7070552030408519
A,lightgbm,5_SMOTENC,full,7,0.18294977371699417,0.7576802078017048
A,lightgbm,5_SMOTENC,full,8,0.1464578716954637,0.6977832773287319
A,lightgbm,5_SMOTENC,full,9,0.15492881868374425,0.7213736967258094
A,lightgbm,5_SMOTENC,full,10,0.1457001193296002,0.6860427029456349
A,lightgbm,5_SMOTENC,full,11,0.17767837115123578,0.7322115494481218
A,lightgbm,5_SMOTENC,full,12,0.17408181145912896,0.7443879066720496
A,lightgbm,5_SMOTENC,full,13,0.16035318015880431,0.7196591287500378
A,lightgbm,5_SMOTENC,full,14,0.1546001073989996,0.694713736967258
A,lightgbm,5_SMOTENC,full,15,0.16613393491548195,0.7183669893890112
A,lightgbm,5_SMOTENC,full,16,0.19509430487287996,0.7175252706068755
A,lightgbm,5_SMOTENC,full,17,0.15486247517003188,0.7236039275131589
A,lightgbm,5_SMOTENC,full,18,0.1870858647330887,0.7162193866739321
A,lightgbm,5_SMOTENC,full,19,0.14882433630905859,0.7058525394792999
A,lightgbm,5_SMOTENC,full,20,0.15804886076075852,0.7096870024908782
A,lightgbm,5_SMOTENC,full,21,0.162003818269276,0.7150496271300055
A,lightgbm,5_SMOTENC,full,22,0.1597738476107675,0.7117360735532721
A,lightgbm,5_SMOTENC,full,23,0.17800679346385107,0.7115838706747798
A,lightgbm,5_SMOTENC,full,24,0.1665107448347308,0.7121097798914701
A,lightgbm,5_SMOTENC,lab_indicators_only,0,0.14524407155010752,0.6823635158707789
A,lightgbm,5_SMOTENC,lab_indicators_only,1,0.139248028658217,0.7083463463310965
A,lightgbm,5_SMOTENC,lab_indicators_only,2,0.18056762226379708,0.7547589484989983
A,lightgbm,5_SMOTENC,lab_indicators_only,3,0.14589625340932608,0.700802984893894
A,lightgbm,5_SMOTENC,lab_indicators_only,4,0.13514730065928698,0.703848088531187
A,lightgbm,5_SMOTENC,lab_indicators_only,5,0.14549955535926654,0.7041491784672339
A,lightgbm,5_SMOTENC,lab_indicators_only,6,0.13999071258930862,0.7011974497063505
A,lightgbm,5_SMOTENC,lab_indicators_only,7,0.19331707340656792,0.7436033181239954
A,lightgbm,5_SMOTENC,lab_indicators_only,8,0.156821397605937,0.6981919595555959
A,lightgbm,5_SMOTENC,lab_indicators_only,9,0.15140714990178586,0.7082799829278702
A,lightgbm,5_SMOTENC,lab_indicators_only,10,0.1380309073479087,0.654304953572163
A,lightgbm,5_SMOTENC,lab_indicators_only,11,0.15452770743957012,0.7187326228871336
A,lightgbm,5_SMOTENC,lab_indicators_only,12,0.16989270946720608,0.7383092497657661
A,lightgbm,5_SMOTENC,lab_indicators_only,13,0.13402178616777546,0.6815343747161928
A,lightgbm,5_SMOTENC,lab_indicators_only,14,0.14739243516206968,0.6966838912261447
A,lightgbm,5_SMOTENC,lab_indicators_only,15,0.15941729155550513,0.7132405030507546
A,lightgbm,5_SMOTENC,lab_indicators_only,16,0.18406940943443145,0.6979600697750593
A,lightgbm,5_SMOTENC,lab_indicators_only,17,0.14547713724019026,0.7185612321848887
A,lightgbm,5_SMOTENC,lab_indicators_only,18,0.16918656979440538,0.7231518481518481
A,lightgbm,5_SMOTENC,lab_indicators_only,19,0.1558275399484389,0.7017521797451376
A,lightgbm,5_SMOTENC,lab_indicators_only,20,0.1381633193624117,0.685623747895703
A,lightgbm,5_SMOTENC,lab_indicators_only,21,0.1472677936801332,0.7040311093167986
A,lightgbm,5_SMOTENC,lab_indicators_only,22,0.13899607057385477,0.6906740605885175
A,lightgbm,5_SMOTENC,lab_indicators_only,23,0.18540035458113102,0.7052341597796142
A,lightgbm,5_SMOTENC,lab_indicators_only,24,0.1519189839106618,0.7041643802207181
B,RF,1_none,full,0,0.2815821920822737,0.800397523550765
B,RF,1_none,full,1,0.17356236603389938,0.7083268378504777
B,RF,1_none,full,2,0.22506896578304827,0.7564193929136138
B,RF,1_none,full,3,0.19842289445675654,0.73859081097749
B,RF,1_none,full,4,0.1938029771356749,0.7206569107140867
B,RF,1_none,full,5,0.19775741352232332,0.7303298220608867
B,RF,1_none,full,6,0.196388599879521,0.7317384139144377
B,RF,1_none,full,7,0.2246214202370025,0.7709952564416632
B,RF,1_none,full,8,0.27108881432597093,0.7893650059468746
B,RF,1_none,full,9,0.213743002385222,0.7046632413093632
B,RF,1_none,full,10,0.2287229995280905,0.8018840611985836
B,RF,1_none,full,11,0.1688901442394838,0.7225352426341225
B,RF,1_none,full,12,0.24726171594257795,0.7482072467318442
B,RF,1_none,full,13,0.1771837457091879,0.7074688339720716
B,RF,1_none,full,14,0.23274426303014778,0.7589414085574491
B,RF,1_none,full,15,0.20571581145370865,0.7584348484511058
B,RF,1_none,full,16,0.20419417927421427,0.7281529073781262
B,RF,1_none,full,17,0.17317378389878746,0.7414760706411597
B,RF,1_none,full,18,0.20720643858229315,0.7038346328355579
B,RF,1_none,full,19,0.2635128873947475,0.7607804019036367
B,RF,1_none,full,20,0.18180533406668628,0.7543148564683875
B,RF,1_none,full,21,0.23499984032259036,0.7748535732579115
B,RF,1_none,full,22,0.22621072699509598,0.7206200031178318
B,RF,1_none,full,23,0.2759784772134461,0.7267245936302364
B,RF,1_none,full,24,0.17568307677134687,0.7487879362036489
B,RF,1_none,lab_indicators_only,0,0.298819181813339,0.8016112509186469
B,RF,1_none,lab_indicators_only,1,0.16102076745085261,0.6959501592321227
B,RF,1_none,lab_indicators_only,2,0.2167975926031727,0.7540420461884506
B,RF,1_none,lab_indicators_only,3,0.198508682024431,0.718944099378882
B,RF,1_none,lab_indicators_only,4,0.19692738192717857,0.6887698806326137
B,RF,1_none,lab_indicators_only,5,0.20832293632686164,0.7337594370086632
B,RF,1_none,lab_indicators_only,6,0.1769466503461695,0.7445994699685989
B,RF,1_none,lab_indicators_only,7,0.24626352552657021,0.7822305859296705
B,RF,1_none,lab_indicators_only,8,0.26532875168979597,0.7765461873926259
