site,model,condition,arm,split,auprc,auroc
A,RF,5_SMOTENC,full,13,0.1675429437410501,0.7288559061825242
A,RF,5_SMOTENC,full,14,0.22077815014934707,0.7496186684098969
A,RF,5_SMOTENC,full,15,0.19470894702031288,0.7391096948058973
A,RF,5_SMOTENC,full,16,0.22238248720673087,0.7710326657554328
A,RF,5_SMOTENC,full,17,0.1661114752775299,0.6911263643747152
A,RF,5_SMOTENC,full,18,0.2030553765626262,0.7513495176403002
A,RF,5_SMOTENC,full,19,0.18140360231520197,0.7524662744398883
A,RF,5_SMOTENC,full,20,0.21532900835473773,0.7456207646081063
A,RF,5_SMOTENC,full,21,0.19276304570676356,0.745079832016006
A,RF,5_SMOTENC,full,22,0.1862775329979315,0.7279496246112399
A,RF,5_SMOTENC,full,23,0.1943676215839668,0.7351850201065747
A,RF,5_SMOTENC,full,24,0.18387176239741243,0.736861393395535
A,RF,5_SMOTENC,lab_indicators_only,0,0.16586431887726996,0.7044839829649956
A,RF,5_SMOTENC,lab_indicators_only,1,0.17038202754167736,0.7244804976129633
A,RF,5_SMOTENC,lab_indicators_only,2,0.20228962705674372,0.7339370258116915
A,RF,5_SMOTENC,lab_indicators_only,3,0.22842786573383023,0.7792114855093996
A,RF,5_SMOTENC,lab_indicators_only,4,0.20096578085124178,0.736534537746875
A,RF,5_SMOTENC,lab_indicators_only,5,0.18382839250872396,0.7331420337749452
A,RF,5_SMOTENC,lab_indicators_only,6,0.18222701671815864,0.7111314157801946
A,RF,5_SMOTENC,lab_indicators_only,7,0.21706620859873804,0.7653845010994235
A,RF,5_SMOTENC,lab_indicators_only,8,0.1881578903455551,0.712683980111329
A,RF,5_SMOTENC,lab_indicators_only,9,0.20319180770023945,0.7449609754164933
A,RF,5_SMOTENC,lab_indicators_only,10,0.1856543609940493,0.7304274487818792
A,RF,5_SMOTENC,lab_indicators_only,11,0.20664507895352915,0.7390973831738673
A,RF,5_SMOTENC,lab_indicators_only,12,0.20868605086344127,0.7490739089954636
A,RF,5_SMOTENC,lab_indicators_only,13,0.1762719323854684,0.7333377904558152
A,RF,5_SMOTENC,lab_indicators_only,14,0.1905073195559175,0.7232622174679583
A,RF,5_SMOTENC,lab_indicators_only,15,0.17948133005005898,0.7212091705762591
A,RF,5_SMOTENC,lab_indicators_only,16,0.23391051826090623,0.7629677502426655
A,RF,5_SMOTENC,lab_indicators_only,17,0.1669238849080803,0.6881475208494285
A,RF,5_SMOTENC,lab_indicators_only,18,0.18158348206087876,0.7353484479309047
A,RF,5_SMOTENC,lab_indicators_only,19,0.1848703613215006,0.751738277767873
A,RF,5_SMOTENC,lab_indicators_only,20,0.2245081316463605,0.750676187385048
A,RF,5_SMOTENC,lab_indicators_only,21,0.19275588528327356,0.7426878429508131
A,RF,5_SMOTENC,lab_indicators_only,22,0.1937506971609982,0.7270755333689903
A,RF,5_SMOTENC,lab_indicators_only,23,0.19878835753223642,0.7360492066321983
A,RF,5_SMOTENC,lab_indicators_only,24,0.18682503308865883,0.7312256096353084
A,xgboost,1_none,full,0,0.20027795961068415,0.7308184080335979
A,xgboost,1_none,full,1,0.21016263637461,0.7193993779837959
A,xgboost,1_none,full,2,0.24804107332473085,0.7400754739406905
A,xgboost,1_none,full,3,0.26656330232299624,0.7759404528436441
A,xgboost,1_none,full,4,0.22377645552242592,0.7609892830966106
A,xgboost,1_none,full,5,0.2130736584363828,0.7358639953576662
A,xgboost,1_none,full,6,0.20568064446824025,0.7106881797111785
A,xgboost,1_none,full,7,0.27335348614605526,0.7991372991818704
A,xgboost,1_none,full,8,0.2317269575280588,0.7386293853132863
A,xgboost,1_none,full,9,0.24183239829845055,0.7397882371585349
A,xgboost,1_none,full,10,0.24823205332757514,0.7292693242060331
A,xgboost,1_none,full,11,0.2175037674116385,0.7385451952219647
A,xgboost,1_none,full,12,0.20754816243985622,0.7359452071076248
A,xgboost,1_none,full,13,0.23382380454575824,0.7465779204056973
A,xgboost,1_none,full,14,0.24184706832584402,0.7399070937580475
A,xgboost,1_none,full,15,0.2239561952429326,0.7453650428333972
A,xgboost,1_none,full,16,0.24577177151308788,0.7842307006596542
A,xgboost,1_none,full,17,0.19236956883665285,0.7088607594936709
A,xgboost,1_none,full,18,0.2196907537448463,0.7476872486678156
A,xgboost,1_none,full,19,0.22679767173361734,0.7656940234939879
A,xgboost,1_none,full,20,0.24072895142263825,0.7319298142082951
A,xgboost,1_none,full,21,0.25390010372675664,0.7735286543451991
A,xgboost,1_none,full,22,0.2662643880626844,0.7682098215170065
A,xgboost,1_none,full,23,0.18832011026104392,0.7266793447039479
A,xgboost,1_none,full,24,0.22119875459630237,0.7485142925060914
A,xgboost,1_none,lab_indicators_only,0,0.21787416629388812,0.7268006255348027
A,xgboost,1_none,lab_indicators_only,1,0.20250629686799015,0.7303242804223371
A,xgboost,1_none,lab_indicators_only,2,0.24204748362766443,0.7366732037796397
A,xgboost,1_none,lab_indicators_only,3,0.24814651689856032,0.7629850834967611
A,xgboost,1_none,lab_indicators_only,4,0.22387475558130684,0.765535548027971
A,xgboost,1_none,lab_indicators_only,5,0.21123516754312988,0.7458223913920117
A,xgboost,1_none,lab_indicators_only,6,0.20388078213802627,0.7130702640597454
A,xgboost,1_none,lab_indicators_only,7,0.27348897481265155,0.8068827875834471
A,xgboost,1_none,lab_indicators_only,8,0.18969727334440023,0.7094500901329213
A,xgboost,1_none,lab_indicators_only,9,0.23004574319170734,0.7306610407876231
A,xgboost,1_none,lab_indicators_only,10,0.2262761337899269,0.7465108730931516
A,xgboost,1_none,lab_indicators_only,11,0.2020236264721452,0.7164131059210396
